Bundesland;Behörde;Mailadresse;Website
BY;Land;direkt@bayern.de;https://www.bundesregierung.de/
BY;Land;direkt@bayern.de;https://www.bayern.de/
BY;StMWi;info@stmwi.bayern.de;https://www.stmwi.bayern.de/
BY;StMI;poststelle@stmi.bayern.de;http://www.stmi.bayern.de/
BY;PolBY;gst.internet@polizei.bayern.de;https://www.polizei.bayern.de/
BY;VS BY;poststelle@lfv.bayern.de;https://www.verfassungsschutz.bayern.de/
BY;StMB;poststelle@stmb.bayern.de;https://www.stmb.bayern.de/
BY;StMJ;poststelle@stmj.bayern.de;https://www.justiz.bayern.de/
BY;StMUK;webkontakt@stmuk.bayern.de;https://www.km.bayern.de/
BY;StMWK;oeffentlichkeitsarbeit@stmwk.bayern.de;https://www.stmwk.bayern.de/
BY;LDBV;poststelle@ldbv.bayern.de;https://www.ldbv.bayern.de/
BY;StMFH;poststelle@stmfh.bayern.de;https://www.stmfh.bayern.de/
BY;LfSt;medienstelle@lfst.bayern.de;https://www.finanzamt.bayern.de/
BY;StMUV;poststelle@stmuv.bayern.de;https://www.stmuv.bayern.de/
BY;StMELF;poststelle@stmelf.bayern.de;http://www.stmelf.bayern.de/
BY;StMAS;Poststelle@stmas.bayern.de;https://www.stmas.bayern.de/
BY;StMGP;poststelle@stmgp.bayern.de;https://www.stmgp.bayern.de/
BY;StMD;poststelle@stmd.bayern.de;http://www.stmd.bayern.de/
BY;Staatskanzlei;presse@stk.bayern.de;https://www.bayern.de/
BY;LKA BY;blka@polizei.bayern.de;https://www.polizei.bayern.de/
BW;Land;pressestelle@stm.bwl.de;https://www.baden-wuerttemberg.de/
BW;StM;pressestelle@stm.bwl.de;https://stm.baden-wuerttemberg.de/
BW;IM;poststelle@im.bwl.de;https://im.baden-wuerttemberg.de/
BW;FM;poststelle@fm.bwl.de;https://fm.baden-wuerttemberg.de/
BW;KM;poststelle@km.kv.bwl.de;https://km-bw.de/
BW;MWK;presse@mwk.bwl.de;https://mwk.baden-wuerttemberg.de/
BW;UM;poststelle@um.bwl.de;https://um.baden-wuerttemberg.de/
BW;WM;poststelle@wm.bwl.de;https://wm.baden-wuerttemberg.de/
BW;SozM;poststelle@sm.bwl.de;https://sozialministerium.baden-wuerttemberg.de/
BW;MLR;pressestelle@mlr.bwl.de;https://mlr.baden-wuerttemberg.de/
BW;MJ;poststelle@jum.bwl.de;https://www.justiz-bw.de/
BW;VM;Poststelle@vm.bwl.de;https://vm.baden-wuerttemberg.de/
BW;BITBW;Poststelle@bitbw.bwl.de;https://www.bitbw.de/
BW;Pol BW;poststelle@im.bwl.de;https://www.polizei-bw.de/
BW;VS BW;info@lfvbw.bwl.de;https://www.verfassungsschutz-bw.de/
BW;LKA BW;stuttgart.lka@polizei.bwl.de;https://lka.polizei-bw.de/
BE;Land;Info@Berlin.de;https://www.berlin.de/
BE;Senatskanzlei;landesredaktion@senatskanzlei.berlin.de;https://www.berlin.de/
BE;SenKultEU;post@kultur.berlin.de;https://www.berlin.de/
BE;SenWiEnBe;post@senweb.berlin.de;https://www.berlin.de/
BE;SenInnDS;poststelle@seninnds.berlin.de;https://www.berlin.de/
BE;SenBJF;post@senbjf.berlin.de;https://www.berlin.de/
BE;SenFin;poststelle@senfin.berlin.de;https://www.berlin.de/
BE;SenGPG;post@sengpg.berlin.de;https://www.berlin.de/
BE;SenIAS;pressestelle@senias.berlin.de;https://www.berlin.de/
BE;SenSW;post@sensw.berlin.de;https://www.stadtentwicklung.berlin.de/
BE;SenJustVA;poststelle@senjustva.berlin.de;https://www.berlin.de/
BE;SenUVK;post@senuvk.berlin.de;https://www.berlin.de/
BE;Pol BE;onlineredaktion@polizei.berlin.de;https://www.berlin.de/
BE;VS BE;info@verfassungsschutz-berlin.de;https://www.berlin.de/
BE;LKA BE;pressestelle@polizei.berlin.de;https://www.berlin.de/
BB;Land;poststelle@stk.brandenburg.de;https://www.brandenburg.de/
BB;Staatskanzlei;poststelle@stk.brandenburg.de;https://www.brandenburg.de/
